idx,specimen,measurement,start_time,end_time
108,FOF2-4,24.1.S.030E,2024-03-21 21:06:51.055988,2024-03-21 21:06:58.955988
109,FOF2-16,24.1.S.031E,2024-03-21 20:15:30.539002,2024-03-21 20:15:38.439002
110,FOF2-16,24.1.S.031E,2024-03-21 20:19:08.231001,2024-03-21 20:19:16.131001
111,FOF2-16,24.1.S.031E,2024-03-21 20:22:06.524985,2024-03-21 20:22:14.424985
112,FOF2-16,24.1.S.031E,2024-03-21 20:22:26.568972,2024-03-21 20:22:34.468972
113,FOF2-16,24.1.S.031E,2024-03-21 20:36:18.199987,2024-03-21 20:36:26.099987
114,FOF2-16,24.1.S.031E,2024-03-21 20:38:40.238967,2024-03-21 20:38:48.138967
115,FOF2-16,24.1.S.031E,2024-03-21 21:12:40.843992,2024-03-21 21:12:47.643992
116,FOF2-16,24.1.S.031E,2024-03-21 21:15:51.499003,2024-03-21 21:16:19.499003
117,FOF2-16,24.1.S.031E,2024-03-21 21:24:48.398968,2024-03-21 21:24:56.298968
118,FOF2-16,24.1.S.031E,2024-03-21 21:37:01.933995,2024-03-21 21:37:09.833995
119,FOF2-16,24.1.S.031E,2024-03-21 21:54:31.079984,2024-03-21 21:54:38.979984
120,FOF2-16,24.1.S.031E,2024-03-21 22:05:05.153994,2024-03-21 22:05:13.053994
121,FOF2-16,24.1.S.031E,2024-03-21 22:07:35.186976,2024-03-21 22:07:44.486976
122,FOF2-16,24.1.S.031E,2024-03-21 22:07:50.683976,2024-03-21 22:09:39.833976
123,FOF2-16,24.1.S.031E,2024-03-21 22:10:41.049980,2024-03-21 22:14:12.699980
124,FOF2-16,24.1.S.031E,2024-03-21 22:14:13.231971,2024-03-21 22:14:19.731971
125,FOF2-16,24.1.S.031E,2024-03-21 22:14:20.116021,2024-03-21 22:14:26.466021
126,FOF2-16,24.1.S.031E,2024-03-21 22:14:26.481990,2024-03-21 22:15:57.681990
127,FOF2-16,24.1.S.031E,2024-03-21 22:21:12.739975,2024-03-21 22:21:20.639975
128,FOF2-16,24.1.S.031E,2024-03-21 22:37:29.820976,2024-03-21 22:37:37.720976
129,FOF2-16,24.1.S.031E,2024-03-21 22:40:13.039000,2024-03-21 22:41:31.839000
130,FOF2-16,24.1.S.031E,2024-03-21 22:41:44.233959,2024-03-21 22:42:07.533959
131,FOF2-16,24.1.S.031E,2024-03-21 22:42:15.879010,2024-03-21 22:42:31.079010
132,FOF2-16,24.1.S.031E,2024-06-14 23:03:13.870014,2024-06-14 23:03:19.020014
133,FOF2-16,24.1.S.031E,2024-06-14 23:03:38.094988,2024-06-14 23:03:43.244988
134,FOF2-5,24.1.S.032E,2024-03-21 23:41:16.012976,2024-03-21 23:41:23.912976
135,FOF2-5,24.1.S.032E,2024-03-21 23:45:54.270972,2024-03-21 23:46:02.170972
136,FOF2-5,24.1.S.032E,2024-03-21 23:46:11.961965,2024-03-21 23:46:19.861965
137,FOF2-5,24.1.S.032E,2024-03-21 23:47:22.652991,2024-03-21 23:47:30.552991
138,FOF2-5,24.1.S.032E,2024-03-22 00:02:47.288974,2024-03-22 00:02:55.188974
139,FOF2-5,24.1.S.032E,2024-03-22 00:46:38.181000,2024-03-22 00:46:46.081000
140,FOF2-5,24.1.S.032E,2024-03-22 01:03:26.318964,2024-03-22 01:03:34.218964
141,FOF2-5,24.1.S.032E,2024-03-22 01:21:13.495996,2024-03-22 01:21:21.395996
142,FOF2-5,24.1.S.032E,2024-03-22 01:33:04.017992,2024-03-22 01:33:11.917992
143,FOF2-5,24.1.S.032E,2024-03-22 01:49:21.386982,2024-03-22 01:49:29.286982
144,FOF2-5,24.1.S.032E,2024-03-22 02:02:54.517997,2024-03-22 02:03:02.417997
145,FOF2-5,24.1.S.032E,2024-03-22 03:03:30.131992,2024-03-22 03:03:38.031992
146,FOF2-5,24.1.S.032E,2024-03-22 03:04:27.824981,2024-03-22 03:04:52.474981
147,FOF2-5,24.1.S.032E,2024-03-22 03:06:48.305973,2024-03-22 03:06:59.505973
148,FOF2-5,24.1.S.032E,2024-06-14 23:45:55.132002,2024-06-14 23:46:00.282002
149,FOF2-5,24.1.S.032E,2024-06-14 23:46:09.777989,2024-06-14 23:46:14.927989
150,FOF2-15,24.1.S.033E,2024-04-08 19:52:02.451970,2024-04-08 19:52:10.351970
151,FOF2-15,24.1.S.033E,2024-04-08 19:52:24.483997,2024-04-08 19:52:32.383997
152,FOF2-15,24.1.S.033E,2024-04-08 19:52:36.706984,2024-04-08 19:52:44.606984
153,FOF2-15,24.1.S.033E,2024-04-08 19:54:06.165964,2024-04-08 19:54:14.065964
154,FOF2-15,24.1.S.033E,2024-04-08 20:06:03.489975,2024-04-08 20:06:11.389975
155,FOF2-15,24.1.S.033E,2024-04-08 21:58:13.410985,2024-04-08 21:58:25.310985
156,FOF2-15,24.1.S.033E,2024-04-08 22:03:43.468982,2024-04-08 22:04:11.468982
157,FOF2-15,24.1.S.033E,2024-07-05 19:02:11.825987,2024-07-05 19:02:16.975987
158,FOF2-15,24.1.S.033E,2024-07-05 19:04:35.100003,2024-07-05 19:04:40.250003
159,FOF2-15,24.1.S.033E,2024-07-05 19:04:50.199016,2024-07-05 19:04:55.349016
160,FOF2-15,24.1.S.033E,2024-07-05 19:05:19.719999,2024-07-05 19:05:24.869999
161,FOF2-17,24.1.S.034E,2024-04-08 20:51:35.028006,2024-04-08 20:52:06.328006
162,FOF2-17,24.1.S.034E,2024-04-08 21:31:06.001989,2024-04-08 21:31:13.901989
163,FOF2-17,24.1.S.034E,2024-04-08 21:31:46.262000,2024-04-08 21:31:54.162000
164,FOF2-17,24.1.S.034E,2024-04-08 21:33:10.318997,2024-04-08 21:33:18.218997
165,FOF2-17,24.1.S.034E,2024-04-08 21:36:24.203964,2024-04-08 21:36:32.103964
166,FOF2-17,24.1.S.034E,2024-04-08 22:10:15.534005,2024-04-08 22:10:20.984005
167,FOF2-17,24.1.S.034E,2024-04-08 22:22:36.226990,2024-04-08 22:22:44.126990
168,FOF2-17,24.1.S.034E,2024-04-08 22:56:30.907001,2024-04-08 22:56:39.157001
169,FOF2-17,24.1.S.034E,2024-04-08 22:57:33.104974,2024-04-08 22:57:41.004974
170,FOF2-17,24.1.S.034E,2024-04-08 22:57:49.468997,2024-04-08 22:57:57.368997
171,FOF2-17,24.1.S.034E,2024-04-08 23:08:29.652972,2024-04-08 23:08:37.552972
172,FOF2-17,24.1.S.034E,2024-04-08 23:18:34.673992,2024-04-08 23:18:42.573992
173,FOF2-17,24.1.S.034E,2024-04-08 23:19:54.510010,2024-04-08 23:20:02.610010
174,FOF2-17,24.1.S.034E,2024-04-09 01:00:49.057978,2024-04-09 01:01:17.057978
175,FOF2-17,24.1.S.034E,2024-04-09 01:02:02.400972,2024-04-09 01:02:10.300972
176,FOF2-17,24.1.S.034E,2024-04-09 01:34:28.119970,2024-04-09 01:34:36.019970
177,FOF2-17,24.1.S.034E,2024-07-05 20:13:55.548006,2024-07-05 20:14:00.698006
178,FOF2-17,24.1.S.034E,2024-07-05 20:14:25.964015,2024-07-05 20:14:31.114015
179,FOF2-6,24.1.S.035E,2024-04-09 00:37:20.778995,2024-04-09 00:37:28.678995
180,FOF2-6,24.1.S.035E,2024-04-09 00:37:38.297990,2024-04-09 00:37:46.197990
181,FOF2-6,24.1.S.035E,2024-04-09 00:38:33.230985,2024-04-09 00:38:41.130985
182,FOF2-6,24.1.S.035E,2024-04-09 00:49:04.834962,2024-04-09 00:49:12.734962
183,FOF2-6,24.1.S.035E,2024-04-09 00:49:16.765978,2024-04-09 00:49:24.665978
184,FOF2-18,24.1.S.036E,2024-04-09 18:35:09.811972,2024-04-09 18:35:17.711972
185,FOF2-18,24.1.S.036E,2024-04-09 18:35:28.108996,2024-04-09 18:35:36.008996
186,FOF2-18,24.1.S.036E,2024-04-09 18:35:39.219980,2024-04-09 18:35:47.119980
187,FOF2-18,24.1.S.036E,2024-04-09 18:44:02.604978,2024-04-09 18:44:10.504978
188,FOF2-18,24.1.S.036E,2024-04-09 18:45:49.739984,2024-04-09 18:45:57.639984
189,FOF2-18,24.1.S.036E,2024-04-09 18:47:24.666968,2024-04-09 18:47:32.566968
190,FOF2-18,24.1.S.036E,2024-04-09 20:35:08.625993,2024-04-09 20:35:16.525993
191,FOF2-18,24.1.S.036E,2024-04-09 20:35:34.897989,2024-04-09 20:35:42.797989
192,FOF2-18,24.1.S.036E,2024-04-09 20:47:37.320987,2024-04-09 20:47:45.220987
193,FOF2-18,24.1.S.036E,2024-07-05 21:17:08.888002,2024-07-05 21:17:14.038002
194,FOF2-18,24.1.S.036E,2024-07-05 21:17:24.864982,2024-07-05 21:17:30.014982
195,FOF2-7,24.1.S.037E,2024-04-09 20:04:42.661968,2024-04-09 20:04:50.561968
196,FOF2-7,24.1.S.037E,2024-04-09 20:05:02.413984,2024-04-09 20:05:10.313984
197,FOF2-7,24.1.S.037E,2024-04-09 20:13:07.207974,2024-04-09 20:13:15.107974
198,FOF2-19,24.1.S.038E,2024-04-09 22:01:32.886990,2024-04-09 22:01:40.786990
199,FOF2-19,24.1.S.038E,2024-04-09 22:02:25.409980,2024-04-09 22:02:33.309980
200,FOF2-19,24.1.S.038E,2024-04-09 22:11:58.084967,2024-04-09 22:12:05.984967
201,FOF2-19,24.1.S.038E,2024-04-09 22:27:37.261969,2024-04-09 22:27:45.161969
202,FOF2-19,24.1.S.038E,2024-04-09 22:59:21.792979,2024-04-09 22:59:29.692979
203,FOF2-8,24.1.S.039E,2024-04-10 18:41:27.614992,2024-04-10 18:41:35.514992
204,FOF2-8,24.1.S.039E,2024-04-10 18:41:51.487967,2024-04-10 18:41:59.387967
205,FOF2-8,24.1.S.039E,2024-04-10 18:45:52.939966,2024-04-10 18:46:00.839966
206,FOF2-8,24.1.S.039E,2024-04-10 18:46:16.254988,2024-04-10 18:46:24.154988
207,FOF2-8,24.1.S.039E,2024-04-10 19:03:00.882972,2024-04-10 19:03:08.782972
208,FOF2-8,24.1.S.039E,2024-04-10 19:18:31.853984,2024-04-10 19:18:39.753984
209,FOF2-8,24.1.S.039E,2024-04-10 19:33:10.895002,2024-04-10 19:33:18.795002
210,FOF2-8,24.1.S.039E,2024-04-10 21:03:33.972969,2024-04-10 21:03:59.472969
211,FOF2-8,24.1.S.039E,2024-04-10 21:04:08.529974,2024-04-10 21:04:23.079974
212,FOF2-8,24.1.S.039E,2024-07-05 21:53:24.665016,2024-07-05 21:53:29.815016
213,FOF2-8,24.1.S.039E,2024-07-05 21:54:09.083000,2024-07-05 21:54:14.233000
214,FOF2-20,24.1.S.040E,2024-04-10 20:43:55.589983,2024-04-10 20:44:03.489983
215,FOF2-20,24.1.S.040E,2024-04-10 21:30:41.269997,2024-04-10 21:30:48.169997
