,sex,height,age
914,female,1.68,56
915,female,1.63,49
916,female,1.6,73
917,female,1.72,46
918,female,1.64,79
919,male,1.78,67
920,male,1.68,59
921,male,1.78,68
922,female,1.63,42
923,male,1.77,51
924,female,1.77,41
925,male,1.68,78
926,female,1.61,80
927,male,1.78,61
928,female,1.7,64
929,male,1.63,73
930,male,1.84,59
931,female,1.63,61
932,male,1.88,49
933,female,1.6,64
934,female,1.56,69
935,female,1.57,51
936,male,1.82,56
937,male,1.63,71
938,male,1.72,78
939,female,1.52,77
940,male,1.82,45
941,male,1.75,46
942,male,1.87,62
943,male,1.63,76
944,male,1.82,66
945,female,1.65,80
946,female,1.52,67
947,female,1.65,74
948,male,1.78,43
949,male,1.76,77
950,female,1.6,59
951,male,1.82,82
952,male,1.3,69
953,female,1.6,70
954,female,1.58,63
955,male,1.69,82
956,female,1.56,64
957,female,1.56,68
958,male,1.8,69
959,male,1.75,62
960,male,1.7,60
961,female,1.53,78
962,male,1.7,56
963,male,1.7,83
964,male,1.75,50
965,male,0.56,72
966,female,1.64,62
967,female,1.52,64
968,female,1.65,70
969,female,1.72,37
970,female,1.62,92
971,male,1.67,70
972,male,2.0,38
973,female,1.57,78
974,female,1.7,75
975,female,1.46,85
976,female,1.65,58
977,female,1.73,63
978,female,1.65,57
979,male,1.7,51
980,male,1.67,68
981,female,1.7,70
982,male,1.78,73
983,female,1.7,72
984,male,1.9,60
985,female,1.56,72
986,female,1.68,57
987,female,1.65,40
988,female,1.52,70
989,female,1.58,66
990,male,1.62,86
991,female,1.67,48
992,female,1.64,66
993,male,1.65,67
994,female,1.65,46
995,male,1.76,40
996,male,1.75,61
997,female,1.5,68
998,male,1.8,61
999,female,1.65,68
1000,male,1.63,86
1001,female,1.67,50
1002,female,1.66,48
1003,female,1.66,74
1004,male,1.71,64
1005,female,1.68,67
1006,female,1.64,75
1007,female,1.64,62
1008,male,1.8,37
1009,female,1.56,47
1010,female,1.54,80
1011,male,1.72,58
1012,female,1.64,58
1013,female,1.62,42
1014,female,1.65,40
1015,female,1.68,43
1016,female,1.67,48
1017,male,1.64,59
1018,female,1.62,53
1019,male,1.75,66
1020,male,1.8,66
1021,female,1.53,88
1022,male,1.75,70
1023,male,1.12,72
1024,male,1.7,74
1025,male,1.75,67
1026,female,1.65,57
1027,male,1.63,63
1028,female,1.64,63
1029,male,1.82,69
1030,female,1.75,68
1031,male,1.78,44
1032,female,1.58,59
1033,male,1.67,44
1034,male,1.87,48
1035,male,1.73,59
1036,female,1.68,54
1037,female,1.5,61
1038,female,1.6,51
1039,female,1.74,43
1040,female,1.67,52
1041,female,1.71,49
1042,female,1.7,68
1043,male,1.82,43
1044,female,1.56,51
1045,female,1.75,74
1046,female,1.0,62
1047,male,1.75,58
1048,male,1.65,71
1049,male,1.62,70
1050,male,1.77,59
1051,female,1.7,38
1052,female,1.58,60
1053,male,1.74,72
1054,male,1.69,73
1055,male,1.63,42
1056,female,1.65,68
1057,female,1.6,71
1058,male,1.2,78
1059,male,1.75,61
1060,male,1.75,53
1061,female,1.63,64
1062,male,1.75,78
1063,female,1.6,74
1064,female,1.63,53
1065,male,1.65,72
1066,female,1.65,63
1067,female,1.62,79
1068,male,1.79,57
1069,female,1.65,84
1070,male,1.74,59
1071,female,1.63,39
1072,female,1.51,69
1073,female,1.65,68
1074,male,1.82,48
1075,female,1.62,38
1076,female,1.68,59
1077,male,1.65,77
1078,female,1.62,59
1079,male,1.76,68
1080,male,1.78,68
1081,male,1.7,74
1082,female,1.67,55
1083,male,1.84,73
1084,male,1.65,80
1085,male,1.67,63
1086,female,1.6,74
1087,male,1.85,49
1088,male,1.76,42
1089,male,1.75,69
1090,male,1.78,68
1091,male,1.75,67
1092,male,1.87,49
1093,female,1.56,77
1094,female,1.58,68
1095,male,1.7,80
1096,male,1.82,57
1097,female,1.5,44
1098,male,1.82,59
1099,female,1.68,71
1100,female,1.7,58
1101,male,1.76,60
1102,female,1.58,63
1103,female,1.55,56
1104,female,1.65,63
1105,female,1.65,67
1106,female,1.64,62
1107,female,1.76,69
1108,male,1.75,46
1109,female,1.62,57
1110,male,1.77,80
1111,female,1.6,77
1112,male,1.7,68
1113,male,1.75,63
1114,female,1.72,51
1115,male,1.76,53
1116,male,1.76,61
1117,female,1.48,50
1118,male,1.68,75
1119,male,1.77,55
1120,female,1.64,53
1121,female,1.53,66
1122,female,1.65,82
1123,female,1.55,41
1124,male,1.78,76
1125,female,1.6,88
1126,female,1.65,71
1127,female,1.54,60
1128,male,1.8,42
1129,male,1.67,61
1130,female,1.6,79
1131,male,1.84,64
1132,female,1.52,76
1133,female,1.6,69
1134,female,1.56,57
1135,male,1.8,68
1136,male,1.68,61
1137,male,1.75,62
1138,male,1.78,62
1139,female,1.65,26
1140,male,1.7,67
1141,female,1.5,85
1142,male,1.76,42
1143,female,1.5,13
1144,female,1.7,74
1145,male,1.75,68
1146,female,1.74,44
1147,female,1.55,73
1148,female,1.7,59
1149,female,1.55,48
1150,male,1.67,50
1151,male,1.68,77
1152,female,1.68,62
1153,male,1.85,66
1154,male,1.76,55
1155,female,1.66,52
1156,male,1.76,65
1157,female,1.69,63
1158,male,1.6,78
1159,female,1.76,58
1160,female,1.57,67
1161,male,0.56,57
1162,female,1.58,78
1163,male,1.75,58
1164,female,1.6,71
1165,male,1.68,73
1166,male,1.62,71
1167,female,1.7,68
1168,male,1.7,88
1169,female,1.52,34
1170,male,1.83,52
1171,female,1.8,80
1172,male,1.73,79
1173,female,1.64,61
1174,male,1.76,60
1175,female,1.69,64
1176,male,1.57,42
1177,male,1.78,40
1178,female,1.6,79
1179,female,1.66,41
1180,female,1.64,71
1181,male,1.65,80
1182,male,1.78,42
1183,female,1.6,71
1184,female,1.5,67
1185,male,1.75,70
1186,male,1.7,74
1187,male,1.6,70
1188,female,1.56,88
1189,female,1.67,64
1190,female,1.5,62
1191,male,1.94,60
1192,female,1.65,66
1193,female,1.6,65
1194,male,1.88,55
1195,male,1.76,70
1196,male,1.83,61
1197,female,1.8,50
1198,male,1.63,72
1199,female,1.5,69
1200,male,1.72,69
1201,male,1.65,80
1202,male,1.85,48
1203,female,1.76,61
1204,male,1.87,59
1205,female,1.61,78
1206,male,1.85,74
1207,female,1.58,71
1208,male,1.76,73
1209,female,1.6,68
1210,male,1.73,62
1211,female,1.68,82
1212,female,1.58,71
1213,female,1.61,65
1214,male,1.76,69
1215,female,1.6,70
1216,male,1.8,41
1217,female,1.5,70
1218,male,1.6,51
1219,male,1.8,50
1220,female,1.7,60
1221,female,1.58,90
1222,female,1.65,67
1223,male,1.72,71
1224,female,1.6,66
1225,male,1.73,64
1226,female,1.78,61
1227,male,1.74,65
1228,female,1.58,70
1229,male,1.8,79
1230,female,1.6,64
1231,male,1.5,72
1232,female,1.65,36
1233,male,1.68,85
1234,female,1.56,49
1235,female,1.53,70
1236,female,1.75,18
1237,female,1.72,76
1238,female,1.6,70
1239,female,1.64,69
1240,male,1.7,75
1241,male,0.72,64
1242,female,1.65,78
1243,male,1.2,84
1244,female,1.68,52
1245,male,1.74,38
1246,male,1.75,61
1247,female,1.65,47
1248,male,1.63,75
1249,male,1.63,65
1250,female,1.57,39
1251,female,1.62,53
1252,female,1.55,76
1253,male,1.75,52
1254,female,1.5,75
1255,female,1.53,79
1256,male,1.82,67
1257,male,1.9,69
1258,female,1.68,63
1259,female,1.6,74
1260,female,1.6,78
1261,male,1.7,75
1262,female,1.64,68
1263,female,1.64,74
1264,female,1.7,67
1265,female,1.56,69
1266,female,1.4,67
1267,female,1.56,64
1268,female,1.67,71
1269,male,1.75,77
1270,male,1.68,65
1271,male,1.74,52
1272,male,1.78,84
1273,female,1.78,74
1274,male,1.8,65
1275,male,1.75,64
1276,female,1.6,67
1277,female,1.54,67
1278,male,1.82,58
1279,male,1.6,72
1280,male,1.65,63
1281,female,1.56,28
1282,male,1.8,64
1283,male,1.8,44
1284,male,1.65,66
1285,male,1.86,44
1286,male,1.9,57
1287,male,1.71,68
1288,female,1.74,69
1289,male,1.62,72
1290,male,1.75,77
1291,female,1.62,53
1292,female,1.74,40
1293,male,1.73,27
1294,male,1.83,68
1295,female,1.58,20
1296,female,1.6,69
1297,male,1.82,70
1298,male,1.81,64
1299,male,1.8,62
1300,male,1.75,65
1301,male,1.74,68
1302,female,1.4,58
1303,female,1.72,42
1304,male,1.78,38
1305,male,1.75,43
1306,female,1.65,73
1307,female,1.6,64
1308,female,1.5,78
1309,male,1.78,43
1310,male,1.86,58
1311,male,1.7,75
1312,female,1.56,64
1313,male,1.8,67
1314,female,1.63,69
1315,male,1.65,81
1316,male,1.7,58
1317,male,1.67,63
1318,male,1.7,61
1319,male,1.67,51
1320,female,1.62,62
1321,female,1.64,74
1322,female,1.59,62
1323,male,1.68,55
1324,female,1.55,76
1325,female,1.64,54
1326,female,1.6,71
1327,female,1.7,59
1328,female,1.65,52
1329,female,1.59,73
1330,female,1.58,58
1331,male,0.52,64
1332,female,1.72,56
1333,male,1.84,67
1334,female,1.65,67
1335,female,1.58,54
1336,female,1.55,72
1337,male,1.65,60
1338,female,1.6,19
1339,male,1.6,58
1340,male,1.74,69
1341,female,1.7,74
1342,male,1.71,70
1343,female,1.65,80
1344,female,1.78,40
1345,female,1.64,46
1346,male,1.72,66
1347,female,1.82,55
1348,female,1.64,67
1349,female,1.64,70
1350,male,1.85,75
1351,male,1.75,52
1352,male,1.78,53
1353,male,1.73,73
